TIME,SENSOR 1,SENSOR 2,SENSOR 3,SENSOR 4
0,72,70,75,69
1,71,68,78,73
2,70,67,81,73
3,69,65,82,75
4,68,65,85,78
5,69,65,87,76
6,71,64,89,73
7,73,63,88,76
8,73,61,88,73
9,73,62,87,73
10,72,60,86,77
11,73,59,89,75
12,72,62,92,76
13,73,64,95,78
14,73,64,97,77
15,73,65,97,80
16,75,68,97,83
17,74,71,97,82
18,74,74,96,83
19,74,72,95,82
20,76,72,94,85
21,78,72,93,88
22,78,70,94,90
23,79,69,95,88
24,81,71,94,87
25,80,73,97,88
26,80,71,100,90
27,80,70,103,90
28,80,72,103,88
29,82,71,106,87
30,83,69,108,85
31,84,72,109,85
32,83,75,111,87
33,85,75,113,89
34,86,77,114,89
35,88,76,113,86
36,89,76,112,85
37,89,74,115,82
38,89,72,116,81
39,90,73,119,80
40,89,76,119,79
41,91,75,122,80
42,92,75,123,80
43,93,75,124,79
44,95,75,124,78
45,96,78,126,81
46,96,80,125,78
47,98,82,128,80
48,99,81,130,80
49,98,80,130,82
50,99,83,131,86
51,98,82,134,85
52,97,83,136,82
53,97,82,138,82
54,98,82,137,84
55,100,84,138,85
56,102,87,140,84
57,103,86,141,81
58,102,85,143,85
59,101,87,146,88
60,100,90,146,87
61,100,89,147,89
62,99,89,150,91
63,100,89,153,88
64,102,92,152,92
65,103,91,154,92
66,104,93,154,96
67,104,92,155,98
68,105,93,156,100
69,106,91,158,97
70,106,91,159,95
71,105,89,161,98
72,105,88,161,99
73,106,88,163,101
74,105,87,162,103
75,105,90,164,103
76,104,93,167,103
77,103,96,169,105
78,105,99,170,107
79,106,97,172,105
80,106,97,172,103
81,108,96,171,104
82,109,94,174,108
83,108,95,177,108
84,109,94,178,111
85,110,94,181,113
86,111,95,183,114
87,111,94,185,111
88,111,95,185,115
89,112,94,186,118
90,113,95,189,122
91,112,94,188,120
92,113,93,190,120
93,115,93,190,124
94,115,95,190,126
95,116,95,192,127
96,116,95,193,127
97,116,98,196,129
98,115,99,199,132
99,116,99,199,136
100,116,99,198,140
101,117,100,199,139
102,119,101,202,139
103,119,100,205,142
104,119,102,205,141
105,119,100,206,139
